analysis,arm,outcome,exposure,b,pct,se,p,sig,n
level,pool,n_nonres,pop,.0076958645881619,.7725553866728241,.1308597451638583,.9531034252918895,,672
comp,pool,n_nonres,n_resknown,-.0228473103640299,-2.258828698123871,.0610895273173383,.7084064212967227,,648
level,rural,n_nonres,pop,.1486239828825659,16.02366383402387,.1915427719580718,.4377897020695395,,608
comp,rural,n_nonres,n_resknown,-.0235959092347848,-2.331970248330051,.1012665907891755,.8157553205525292,,585
level,urban,n_nonres,pop,-.1617600377009601,-14.93546971461564,.0890874034477138,.0694094454365341,*,528
comp,urban,n_nonres,n_resknown,-.0382824606737577,-3.755894925377534,.0494696881062558,.4390154053908481,,507
level,pool,n_nonres_drink,pop,.3760396054848886,45.65048182083362,.1988763627317963,.0586482412775887,*,672
comp,pool,n_nonres_drink,n_resknown_drink,.0866932042797122,9.056204861998317,.1807386829942219,.6314688302033433,,474
level,rural,n_nonres_drink,pop,.3236297778676678,38.21355152293624,.33371251435238,.3321530928193847,,608
comp,rural,n_nonres_drink,n_resknown_drink,-.2618783015338484,-23.03953222824931,.193257626696534,.1753941194379241,,418
level,urban,n_nonres_drink,pop,.4531404640060391,57.32451553117273,.1938056961525696,.0193811605339111,**,528
comp,urban,n_nonres_drink,n_resknown_drink,.3325464374064843,39.45146553252514,.1548580075317336,.0317592152930099,**,365
level,pool,n_nonres_dry,pop,-.0149316464119128,-1.482072215981911,.1462977667000038,.9187063576356652,,672
comp,pool,n_nonres_dry,n_resknown,-.0393431484339781,-3.857925748634972,.1430575843905255,.7833038180456753,,648
level,rural,n_nonres_dry,pop,-.0067691821549764,-.67463228501351,.181272133262833,.9702117979673603,,608
comp,rural,n_nonres_dry,n_resknown,-.0938812291423047,-8.960911627410283,.1770684113718541,.5959750038001455,,585
level,urban,n_nonres_dry,pop,-.0976937850703868,-9.307342430435483,.205990549083814,.6353120637486427,,528
comp,urban,n_nonres_dry,n_resknown,.0489800117526559,5.01993588856875,.1948807163796339,.8015564387101453,,507
share_csdid,rural,orig_sh_nonresident,none,-.0780938604511926,,.0973542568547617,.422459402658292,,581
share_csdid,rural,orig_sh_nonresident_drink,none,-.1461129864447284,,.153488604479057,.3411239611838512,,407
