analysis,arm,outcome,att,p,sig,preavg,preavg_p,pre_ok,prejoint_p,n
dist_border,far,fatal_crashes,-.8291152585708857,.1652408994772703,,-.0866228744671108,.2967605013688756,PASS,0,560
dist_border,near,fatal_crashes,-1.046391859698892,.5602598275430563,,.04252127511787,.7896971412744265,PASS,0,576
dist_popcen,far,fatal_crashes,-.670605197276715,.4459244673093761,,-.063450334553547,.5734938459333907,PASS,0,560
dist_popcen,near,fatal_crashes,-1.027977631478798,.437691874636666,,.1752133957351699,.2700851407472414,PASS,0,576
dist_border,far,alcohol_fatal_crashes,-1.087537532246347,.1574562884168653,,-.0559892921604086,.4930560367434216,PASS,0,560
dist_border,near,alcohol_fatal_crashes,.9790427721335675,.2590111330832088,,.0874924236337662,.1763668612466076,PASS,0,576
dist_popcen,far,alcohol_fatal_crashes,.0572146057074103,.9035300647430102,,-.1072307259136959,.0974514540788991,REJECT,0,560
dist_popcen,near,alcohol_fatal_crashes,-.433360102129249,.700769898485984,,.1606985710442885,.0639959160848636,REJECT,0,576
dist_border,far,nonalc_fatal_crashes,.2584222736754659,.7163968426097301,,-.030633582306699,.7400887385022348,PASS,0,560
dist_border,near,nonalc_fatal_crashes,-2.025434631832461,.0673307796243882,*,-.044971148515888,.778722063686583,PASS,0,576
dist_popcen,far,nonalc_fatal_crashes,-.7278198029841256,.2187054011924947,,.0437803913601538,.630271090476674,PASS,0,560
dist_popcen,near,nonalc_fatal_crashes,-.5946175293495524,.6320436358263768,,.0145148246908848,.9340976714106347,PASS,0,576
contam,oos,fatal_crashes,-.1571898953737085,.8428053376035808,,-.0747744391890347,.3820349658671051,PASS,0,528
contam,instate,fatal_crashes,-1.167446576924901,.2613503900013859,,.1222092112894877,.4743682863194879,PASS,0,608
contam,oos,alcohol_fatal_crashes,.8571709991802036,.0015784339469344,***,-.2520200722417891,.0028136047131198,REJECT,0,528
contam,instate,alcohol_fatal_crashes,-.5798746100581209,.4939236932435933,,.2306559954908908,.0173667787914898,REJECT,0,608
contam,oos,nonalc_fatal_crashes,-1.014360894553911,.1209274618819936,,.1772456330527614,.0342483016351228,REJECT,0,528
contam,instate,nonalc_fatal_crashes,-.5875719668667727,.5441536773864722,,-.1084467842014041,.5110692949903939,PASS,0,608
dose,rural_nonadj,fatal_crashes,-1.18832521192094,.0614141795803263,*,-.0517846326654181,.5567262587434597,PASS,0,560
dose,rural_adj,fatal_crashes,1.430450600165099,.2370359009773065,,-.0580572669367446,.6769383740362248,PASS,0,512
dose,urban,fatal_crashes,-1.065196074998316,.6057129858756609,,.1966781480223128,.5614825805949758,PASS,2.45805032975e-77,528
dose,rural_nonadj,alcohol_fatal_crashes,-.9569724743861474,.2654979504883292,,-.0370940079064782,.6621157126984033,PASS,0,560
dose,rural_adj,alcohol_fatal_crashes,1.023619422891331,1.54119859872e-06,***,.1334506212933733,.0017001839708968,REJECT,0,512
dose,urban,alcohol_fatal_crashes,.6042635568609255,.5907648780745933,,-.3035513155700451,.0154920561620598,REJECT,1.1504759127e-269,528
dose,rural_nonadj,nonalc_fatal_crashes,-.2313527375347925,.779373994630705,,-.014690624758937,.8850096925191175,PASS,0,560
dose,rural_adj,nonalc_fatal_crashes,.4068311772737712,.7118075382171026,,-.1915078882301054,.1137788895524617,PASS,0,512
dose,urban,nonalc_fatal_crashes,-1.669459631859243,.2664621731410887,,.5002294635923689,.0949766488584262,REJECT,4.5659441987e-127,528
jackknife,drop2010,fatal_crashes,-.7090380211703345,.5229585667067806,,.0095240294588365,.9412286890078044,PASS,0,640
jackknife,drop2012,fatal_crashes,-2.023062119021654,.0148266810079155,**,.0234690683313342,.83768302931197,PASS,0,624
jackknife,drop2014,fatal_crashes,-.0286227218284424,.9674423548887006,,-.0427064838507,.694419995806742,PASS,0,640
jackknife,drop2016,fatal_crashes,-.88762972360729,.3360445668395315,,.0362833660437207,.7745035875027106,PASS,0,656
jackknife,drop2018,fatal_crashes,-.7846580785319537,.3783653995071871,,.0441972989270748,.7479082052812095,PASS,0,656
jackknife,drop2020,fatal_crashes,-1.076636816008192,.2236797580406405,,.0198487694868525,.8694697421732182,PASS,0,640
jackknife,drop2022,fatal_crashes,-.907719619101614,.3276209065020946,,.1612042162664448,.2477298216638698,PASS,0,640
jackknife,drop2010,alcohol_fatal_crashes,.3989244457992102,.5235510627186497,,-.0351768665376782,.7677967049472443,PASS,0,640
jackknife,drop2012,alcohol_fatal_crashes,-.888238133226126,.1739688082281068,,.0124770209117797,.9155733998900891,PASS,0,624
jackknife,drop2014,alcohol_fatal_crashes,.0041631327970756,.9958936348690242,,.0057123278430061,.9642056960628121,PASS,0,640
jackknife,drop2016,alcohol_fatal_crashes,-.2869551910757644,.694652266721532,,.0462931884666144,.691956885211044,PASS,0,656
jackknife,drop2018,alcohol_fatal_crashes,-.2529313926828701,.7249012344701911,,.0258294098375983,.8419347851712002,PASS,0,656
jackknife,drop2020,alcohol_fatal_crashes,-.3255931701599304,.6545491868823486,,-.0087933194270809,.939333993702378,PASS,0,640
jackknife,drop2022,alcohol_fatal_crashes,-.2489684887251825,.7283443428771458,,.1829059121670794,.0780724540520775,REJECT,0,640
