classifier,controls,outcome,group,att,p,sig,preavg,preavg_p,pre_ok,prejoint_p,n
RUCC2013,alwaysdry,fatal_crashes,rural,-.8086422668303648,.2984729683278145,,-.0500324546073639,.5531432926803981,PASS,0,496
RUCC2013,alwaysdry,fatal_crashes,urban,-.6522141022615963,.7378325821904387,,.2256206672968586,.5296375534382844,PASS,0,176
RUCC2013,fullpool,fatal_crashes,rural,-.7724357628487417,.1785073907741728,,-.0028256455024057,.9735387456777554,PASS,0,880
RUCC2013,fullpool,fatal_crashes,urban,-.990987904846019,.6595445188503325,,.0751350033306097,.8401829591961139,PASS,0,320
pop20k,alwaysdry,fatal_crashes,rural,-.1223787873535578,.8986396627533116,,.0057333038252909,.9654304237890956,PASS,0,368
pop20k,alwaysdry,fatal_crashes,urban,-1.969928407630983,.0384001920762051,**,.2101958192364441,.3647729076316209,PASS,4.7689200635e-122,304
pop20k,fullpool,fatal_crashes,rural,-.312646303910499,.6372717711822747,,.1061788541806265,.4378095473632062,PASS,0,608
pop20k,fullpool,fatal_crashes,urban,-1.667067017460085,.257358434071759,,.078081880448956,.691358168540438,PASS,0,592
RUCC2013,alwaysdry,alcohol_fatal_cr,rural,-.4125483850589309,.5764236400259101,,.0386111034724925,.7259345601618405,PASS,0,496
RUCC2013,alwaysdry,alcohol_fatal_cr,urban,.3347195411918433,.7944536982974894,,-.3204207261617032,.0048516598898095,REJECT,1.1941804586e-254,176
RUCC2013,fullpool,alcohol_fatal_cr,rural,-.5803291050511415,.4411499188648955,,.0012925618353692,.9898595670776644,PASS,0,880
RUCC2013,fullpool,alcohol_fatal_cr,urban,.677367336928888,.5808071166404865,,-.3275529683231329,.0532968156469253,REJECT,6.0829176635e-161,320
pop20k,alwaysdry,alcohol_fatal_cr,rural,.0625177486503279,.9043947256336582,,-.0058685894249879,.9499793738253537,PASS,6.1075238804e-133,368
pop20k,alwaysdry,alcohol_fatal_cr,urban,-.9853194747828643,.3009363225966823,,.1034425150114419,.4923996956341483,PASS,0,304
pop20k,fullpool,alcohol_fatal_cr,rural,.0051807955540716,.9915907441879964,,.0549925617180719,.4864410835270864,PASS,0,608
pop20k,fullpool,alcohol_fatal_cr,urban,-.5315043896639012,.6531389679711169,,.0577066319406699,.669954148954943,PASS,0,592
RUCC2013,alwaysdry,nonalc_fatal_cra,rural,-.3960938817714241,.5710131744745496,,-.0886435580798614,.4483219131358999,PASS,0,496
RUCC2013,alwaysdry,nonalc_fatal_cra,urban,-.986933643453445,.5219268789404705,,.5460413934585591,.1567762345754976,PASS,1.1450068813e-136,176
RUCC2013,fullpool,nonalc_fatal_cra,rural,-.1921066577975979,.7385099241034792,,-.0041182073377737,.9661320181307776,PASS,0,880
RUCC2013,fullpool,nonalc_fatal_cra,urban,-1.668355241774899,.333922614930749,,.4026879716537511,.212334760004038,PASS,0,320
pop20k,alwaysdry,nonalc_fatal_cra,rural,-.1848965360038815,.8349814643101905,,.0116018932502854,.9448683992979742,PASS,0,368
pop20k,alwaysdry,nonalc_fatal_cra,urban,-.9846089328481256,.3853802399403822,,.1067533042250373,.5867377560621512,PASS,4.44607816822e-35,304
pop20k,fullpool,nonalc_fatal_cra,rural,-.3178270994645753,.6240652595545038,,.05118629246255,.7371508565246576,PASS,0,608
pop20k,fullpool,nonalc_fatal_cra,urban,-1.135562627796187,.3504657844342298,,.0203752485082946,.8963751227300965,PASS,0,592
