tag,outcome,method,att,p,sig,preavg,preavg_p,pre_ok,prejoint_p,n
fatal_primaryplus_reg,fatal_crashes,reg,-.3040799207303682,.671337653351501,,.194664739246652,.401147932666146,PASS,0,464
alcohol_primaryplus_reg,alcohol_fatal_crashes,reg,-.2891938909680477,.5498573119027524,,.1411201983531421,.1087733890693054,PASS,1.03339612827e-49,464
nonalc_primaryplus_reg,nonalc_fatal_crashes,reg,-.0148860297623251,.9795414969876691,,.0535445408935126,.8170763684105213,PASS,0,464
fatal_dripw,fatal_crashes,dripw,-.0644251735117436,.9336580887863615,,.0510314144871996,.774594051298205,PASS,0,412
alcohol_dripw,alcohol_fatal_crashes,dripw,.012118150047082,.9761416525880438,,.1103659660800023,.2253321534627401,PASS,0,412
nonalc_dripw,nonalc_fatal_crashes,dripw,-.0765433235588255,.8909680960245852,,-.0593345515928033,.7076666298424571,PASS,0,412
fatal_nocov,fatal_crashes,dripw,-.1315843354758447,.8433672929308494,,.3551791283126126,.1347355092061168,PASS,6.54839464885e-96,464
alcohol_nocov,alcohol_fatal_crashes,dripw,-.0392106975833391,.9121245064833735,,.2714682470621385,.0223190088076897,REJECT,5.04010816833e-14,464
nonalc_nocov,nonalc_fatal_crashes,dripw,-.0923736378925057,.8870498324812545,,.083710881250474,.6989720147840206,PASS,3.70217416187e-61,464
fatal_rural,fatal_crashes,reg,-.468069249573222,.5724699232921409,,-.090454878692087,.6650136674629847,PASS,8.75344170116e-16,352
fatal_urban,fatal_crashes,reg,4.881672778610968,.0144319179925166,**,.8141733436929396,.2420721235302501,PASS,1.3078415186e-268,112
alcohol_rural,alcohol_fatal_crashes,reg,-1.195167202332081,.0285624559391744,**,.2990673340940975,.022076261523336,REJECT,6.64730355711e-06,352
alcohol_urban,alcohol_fatal_crashes,reg,1.439748676718028,.1679485799097812,,-.1772230092840457,.3506637151325308,PASS,0,112
nonalc_rural,nonalc_fatal_crashes,reg,.727097952758828,.362461687285707,,-.3895222127861941,.0004004429482776,REJECT,9.4846028530e-182,352
nonalc_urban,nonalc_fatal_crashes,reg,3.441924101892951,.1044015336431436,,.9913963529770095,.1713684152971778,PASS,0,112
