outcome,spec,b,b_per_sdw,se,p,p_boot,n,nclust
fatal_crashes,verbatim,18.11737479219159,1.231418287288364,3.879287108393823,.0034304164952543,,105,7
fatal_crashes,cty_trends,20.47953036416449,1.391971435970876,2.320871362651424,.0001176479667363,,105,7
fatal_crashes,rural_trends,-2.823689275087023,-.1919230932099941,2.28755732437532,.2307007510351902,,330,22
alcohol_fatal_crashes,verbatim,10.65840605712156,.7244402835747088,2.855642162238325,.0097090969995272,,105,7
alcohol_fatal_crashes,cty_trends,12.43071080507081,.844901912387141,2.305989639964376,.0016787029035859,,105,7
alcohol_fatal_crashes,rural_trends,.217559440874263,.0147872789042408,1.176430387038447,.8550568683702524,,330,22
nonalc_fatal_crashes,verbatim,7.458968735070025,.5069780037136549,3.375959108833653,.0691969230063549,,105,7
nonalc_fatal_crashes,cty_trends,8.048767541654819,.5470659880149119,3.31628884819782,.051368757671891,,105,7
nonalc_fatal_crashes,rural_trends,-3.041248715972843,-.2067103721150204,1.419157974651195,.0439833693117829,,330,22
