oos_fips,state,name,border_type,offpremise_wet,confidence,adjacent_ar,accessible_from_ar
22015,22,Bossier,land,1,verify,05073;05091,05073;05091
22017,22,Caddo,land,1,verify,05091,05091
22027,22,Claiborne,land,1,verify,05027;05139,05027;05139
22035,22,East Carroll,land,1,verify,05017,05017
22067,22,Morehouse,land,1,verify,05003;05017;05139,05003;05017;05139
22111,22,Union,land,1,verify,05003;05139,05003;05139
22119,22,Webster,land,1,verify,05027;05073,05027;05073
22123,22,West Carroll,land,1,verify,05017,05017
28011,28,Bolivar,river,0,na,05017;05041,
28027,28,Coahoma,river,1,med,05041;05107,05107
28033,28,DeSoto,river,0,na,05035,
28055,28,Issaquena,river,0,na,05017,
28143,28,Tunica,river,0,na,05035;05077;05107,
28151,28,Washington,river,1,med,05017,05017
29009,29,Barry,land,1,high,05007;05015,05007;05015
29023,29,Butler,land,1,high,05021,05021
29069,29,Dunklin,land,1,high,05021;05031;05055;05093,05021;05031;05055;05093
29091,29,Howell,land,1,high,05049,05049
29119,29,McDonald,land,1,high,05007,05007
29149,29,Oregon,land,1,high,05049;05121;05135,05049;05121;05135
29153,29,Ozark,land,1,high,05005;05049;05089,05005;05049;05089
29155,29,Pemiscot,land,1,high,05093,05093
29181,29,Ripley,land,1,high,05021;05121,05021;05121
29209,29,Stone,land,1,high,05015,05015
29213,29,Taney,land,1,high,05009;05015;05089,05009;05015;05089
40001,40,Adair,land,1,high,05007;05033;05143,05007;05033;05143
40041,40,Delaware,land,1,high,05007,05007
40079,40,Le Flore,land,1,high,05113;05127;05131,05113;05127;05131
40089,40,McCurtain,land,1,high,05081;05113;05133,05081;05113;05133
40135,40,Sequoyah,land,1,high,05033;05131,05033;05131
47045,47,Dyer,river,0,na,05093,
47097,47,Lauderdale,river,0,na,05093,
47157,47,Shelby,river,1,med,05035;05093,05035
47167,47,Tipton,river,0,na,05035;05093,
48037,48,Bowie,land,1,verify,05081;05091,05081;05091
48067,48,Cass,land,1,verify,05091,05091
