oos_fips,state,name,border_type,wet_from_year,confidence,adjacent_ar,accessible_from_ar
22015,LA,Bossier,land,2008,partial,05073;05091,05073;05091
22017,LA,Caddo,land,2008,partial,05091,05091
22027,LA,Claiborne,land,2008,partial,05027;05139,05027;05139
22035,LA,East Carroll,land,2008,partial,05017,05017
22067,LA,Morehouse,land,2008,partial,05003;05017;05139,05003;05017;05139
22111,LA,Union,land,2008,partial,05003;05139,05003;05139
22119,LA,Webster,land,2008,partial,05027;05073,05027;05073
22123,LA,West Carroll,land,2008,partial,05017,05017
28011,MS,Bolivar,river,NA,na,05017;05041,
28027,MS,Coahoma,river,2008,med,05041;05107,05107
28033,MS,DeSoto,river,NA,na,05035,
28055,MS,Issaquena,river,NA,na,05017,
28143,MS,Tunica,river,NA,na,05035;05077;05107,
28151,MS,Washington,river,2008,med,05017,05017
29009,MO,Barry,land,2008,high,05007;05015,05007;05015
29023,MO,Butler,land,2008,high,05021,05021
29069,MO,Dunklin,land,2008,high,05021;05031;05055;05093,05021;05031;05055;05093
29091,MO,Howell,land,2008,high,05049,05049
29119,MO,McDonald,land,2008,high,05007,05007
29149,MO,Oregon,land,2008,high,05049;05121;05135,05049;05121;05135
29153,MO,Ozark,land,2008,high,05005;05049;05089,05005;05049;05089
29155,MO,Pemiscot,land,2008,high,05093,05093
29181,MO,Ripley,land,2008,high,05021;05121,05021;05121
29209,MO,Stone,land,2008,high,05015,05015
29213,MO,Taney,land,2008,high,05009;05015;05089,05009;05015;05089
40001,OK,Adair,land,2008,high,05007;05033;05143,05007;05033;05143
40041,OK,Delaware,land,2008,high,05007,05007
40079,OK,Le Flore,land,2008,high,05113;05127;05131,05113;05127;05131
40089,OK,McCurtain,land,2008,high,05081;05113;05133,05081;05113;05133
40135,OK,Sequoyah,land,2008,high,05033;05131,05033;05131
47045,TN,Dyer,river,NA,na,05093,
47097,TN,Lauderdale,river,NA,na,05093,
47157,TN,Shelby,river,2008,med,05035;05093,05035
47167,TN,Tipton,river,NA,na,05035;05093,
48037,TX,Bowie,land,2013,verify,05081;05091,05081;05091
48067,TX,Cass,land,2013,verify,05091,05091
