fips,county,cohort,pretreat_year,nearest_wet_county,dist_nearest_wet_miles
05125,Saline,2014,2013,Pulaski,17.1
05133,Sevier,2020,2019,Little River,18.21
05059,Hot Spring,2022,2021,Clark,19.01
05009,Boone,2010,2009,Marion,20.24
05121,Randolph,2018,2017,Sharp,25.62
05141,Van Buren,2020,2019,Conway,27.08
05007,Benton,2012,2011,Washington,28.2
05081,Little River,2016,2015,Miller,33.46
05019,Clark,2010,2009,Dallas,34.04
05113,Polk,2022,2021,Sevier,35.45
05027,Columbia,2014,2013,Union,37.84
05135,Sharp,2012,2011,Baxter,47.68
